Time: 93337, Price: 381.96, 
Time: 93338, Price: 381.94, 
Time: 93339, Price: 382.01, 
Time: 93341, Price: -nan, 
Time: 93342, Price: 382.10, 
Time: 93343, Price: 381.91, 
Time: 93344, Price: -nan, 
Time: 93345, Price: 381.85, 
Time: 93346, Price: 381.85, 
Time: 93347, Price: 381.84, 
Time: 93348, Price: 381.90, 
Time: 93349, Price: 381.86, 
Time: 93350, Price: 381.82, 
Time: 93351, Price: 381.80, 
Time: 93353, Price: 381.81, 
Time: 93354, Price: 381.87, 
Time: 93355, Price: 381.83, 
Time: 93356, Price: 381.80, 
Time: 93357, Price: 381.86, 
Time: 93358, Price: -nan, 
Time: 93359, Price: 381.81, 
Time: 93400, Price: 381.81, 
Time: 93401, Price: 381.80, 
Time: 93402, Price: 381.90, 
Time: 93404, Price: 381.92, 
Time: 93405, Price: -nan, 
Time: 93406, Price: -nan, 
Time: 93407, Price: 381.83, 
Time: 93408, Price: 381.84, 
Time: 93409, Price: 381.81, 
Time: 93410, Price: 381.75, 
Time: 93411, Price: 381.78, 
Time: 93412, Price: 381.71, 
Time: 93413, Price: 381.70, 
Time: 93414, Price: 381.68, 
Time: 93415, Price: 381.57, 
Time: 93416, Price: 381.39, 
Time: 93417, Price: 381.31, 
Time: 93418, Price: -nan, 
Time: 93419, Price: -nan, 
Time: 93420, Price: 381.06, 
Time: 93421, Price: 380.86, 
Time: 93422, Price: 381.17, 
Time: 93423, Price: 381.06, 
Time: 93424, Price: -nan, 
Time: 93425, Price: 381.14, 
Time: 93427, Price: 381.16, 
Time: 93428, Price: 381.02, 
Time: 93429, Price: 381.02, 
Time: 93430, Price: 380.92, 
Time: 93431, Price: 380.97, 
Time: 93432, Price: 380.97, 
Time: 93433, Price: -nan, 
Time: 93435, Price: -nan, 
Time: 93436, Price: 380.99, 
Time: 93437, Price: 381.05, 
Time: 93438, Price: 380.98, 
Time: 93439, Price: 381.00, 
Time: 93440, Price: 381.14, 
Time: 93441, Price: 381.09, 
Time: 93442, Price: 381.01, 
Time: 93444, Price: -nan, 
Time: 93446, Price: 380.98, 
Time: 93448, Price: 381.01, 
Time: 93449, Price: 380.99, 
Time: 93451, Price: -nan, 
Time: 93452, Price: 381.05, 
Time: 93453, Price: 380.98, 
Time: 93454, Price: 381.10, 
Time: 93455, Price: -nan, 
Time: 93457, Price: 381.05, 
Time: 93458, Price: 381.01, 
Time: 93459, Price: 381.10, 
Time: 93500, Price: 381.10, 
Time: 93501, Price: 381.10, 
Time: 93502, Price: 381.12, 
Time: 93503, Price: 381.05, 
Time: 93504, Price: 381.06, 
Time: 93505, Price: -nan, 
Time: 93506, Price: 381.11, 
Time: 93507, Price: 381.07, 
Time: 93509, Price: 380.99, 
Time: 93510, Price: -nan, 
Time: 93511, Price: 380.92, 
Time: 93512, Price: -nan, 
Time: 93513, Price: 381.04, 
Time: 93514, Price: 381.03, 
Time: 93515, Price: -nan, 
Time: 93516, Price: 381.12, 
Time: 93517, Price: 381.05, 
Time: 93522, Price: -nan, 
Time: 93523, Price: -nan, 
Time: 93524, Price: -nan, 
