TimeStep: 93122, m: 382.40, v: 0.02, y: -0.71, k: 1.50 
TimeStep: 93123, m: 382.41, v: 0.41, y: 0.59, k: 21.56 
TimeStep: 93124, m: 382.46, v: 1.38, y: 0.08, k: 6.73 
TimeStep: 93125, m: 382.32, v: 0.19, y: -5.90, k: 42.76 
TimeStep: 93126, m: 382.32, v: 0.32, y: -1.20, k: 28.21 
TimeStep: 93127, m: 382.40, v: 0.24, y: 1.70, k: 31.70 
TimeStep: 93128, m: 382.15, v: 0.23, y: 3.10, k: 38.02 
TimeStep: 93129, m: 382.05, v: 0.31, y: -4.37, k: 22.80 
TimeStep: 93130, m: 382.15, v: 0.03, y: 0.08, k: 1.71 
TimeStep: 93131, m: 382.08, v: 0.03, y: 0.28, k: 1.90 
TimeStep: 93132, m: 381.96, v: 0.06, y: -6.96, k: 79.27 
TimeStep: 93133, m: 381.85, v: 0.06, y: -6.66, k: 75.08 
TimeStep: 93134, m: 381.91, v: 0.06, y: -7.28, k: 84.24 
TimeStep: 93135, m: 381.89, v: 0.02, y: -0.03, k: 2.12 
TimeStep: 93136, m: 381.91, v: 0.02, y: 0.30, k: 2.38 
TimeStep: 93137, m: 381.75, v: 0.08, y: -6.94, k: 62.77 
TimeStep: 93138, m: 381.77, v: 0.43, y: 2.20, k: 20.97 
TimeStep: 93139, m: 381.74, v: 0.01, y: 1.27, k: 3.06 
TimeStep: 93140, m: 381.79, v: 0.10, y: -0.37, k: 72.32 
TimeStep: 93141, m: 381.82, v: 0.03, y: 0.04, k: 1.89 
TimeStep: 93142, m: 381.76, v: 0.04, y: 0.24, k: 1.32 
TimeStep: 93143, m: 381.77, v: 0.15, y: 4.80, k: 60.58 
TimeStep: 93144, m: 381.70, v: 0.01, y: 1.71, k: 4.09 
TimeStep: 93145, m: 381.74, v: 0.04, y: 0.50, k: 1.54 
TimeStep: 93146, m: 381.76, v: 0.04, y: 0.17, k: 1.30 
TimeStep: 93147, m: 381.73, v: 0.03, y: 0.41, k: 1.38 
TimeStep: 93148, m: 381.80, v: 0.02, y: 0.17, k: 1.48 
TimeStep: 93149, m: 381.79, v: 0.02, y: -0.34, k: 1.41 
TimeStep: 93150, m: 381.79, v: 0.03, y: 0.44, k: 1.81 
TimeStep: 93151, m: 381.80, v: 0.03, y: 0.14, k: 1.21 
TimeStep: 93152, m: 381.63, v: 0.41, y: -3.45, k: 13.71 
TimeStep: 93153, m: 381.23, v: 44.05, y: -11.17, k: 127.04 
TimeStep: 93154, m: 381.82, v: 0.11, y: 8.35, k: 90.44 
TimeStep: 93155, m: 381.74, v: 1.96, y: 0.41, k: 5.06 
TimeStep: 93156, m: 381.79, v: 0.02, y: 0.10, k: 1.50 
TimeStep: 93157, m: 381.80, v: 0.64, y: 1.24, k: 15.56 
TimeStep: 93158, m: 382.02, v: 1.11, y: 1.72, k: 9.04 
TimeStep: 93159, m: 381.78, v: 0.02, y: 0.72, k: 1.75 
TimeStep: 93200, m: 381.99, v: 0.77, y: -2.61, k: 13.96 
TimeStep: 93201, m: 382.02, v: 0.08, y: 5.45, k: 64.08 
TimeStep: 93202, m: 382.13, v: 0.03, y: -0.09, k: 1.92 
TimeStep: 93203, m: 381.91, v: 0.31, y: -1.99, k: 22.28 
TimeStep: 93204, m: 382.07, v: 0.10, y: 4.44, k: 42.70 
TimeStep: 93205, m: 382.14, v: 0.73, y: -1.93, k: 18.18 
TimeStep: 93206, m: 382.06, v: 0.02, y: 0.30, k: 1.97 
TimeStep: 93207, m: 382.09, v: 0.02, y: 0.21, k: 1.38 
TimeStep: 93208, m: 381.88, v: 0.38, y: -4.45, k: 30.13 
TimeStep: 93209, m: 381.81, v: 0.24, y: -4.83, k: 46.99 
TimeStep: 93210, m: 381.78, v: 0.68, y: -3.52, k: 16.69 
TimeStep: 93211, m: 381.71, v: 0.52, y: -4.15, k: 20.37 
TimeStep: 93212, m: 381.84, v: 0.66, y: -1.14, k: 18.43 
TimeStep: 93213, m: 381.81, v: 0.67, y: -2.40, k: 17.35 
TimeStep: 93214, m: 381.64, v: 1.50, y: -2.41, k: 7.68 
TimeStep: 93215, m: 381.71, v: 0.97, y: -3.29, k: 12.85 
TimeStep: 93216, m: 381.77, v: 0.67, y: -4.25, k: 19.87 
